Type,Explanation,Features of Process
Job,"Specific product made to meet a consumer’s needs, e.g. a wedding dress","Specialised/expensive labour, flexible machinery, premium price, slow process"
Batch,"Production of a limited quantity of identical products, e.g. a batch of Maths books","One batch at a time (same size, shape, colour), semi-skilled labour, made for stock"
Mass (flow),"Continuous production of the same item, e.g. toilet paper, biros","Items used up regularly, lower labour needs, highly automated, made for stock"
