1,2
1. Advertising,"Actions to convince consumers to buy a good/service.
Types of advertising: generic, informative, persuasive, competitive.
Forms of advertising: social media, billboards, TV, media, Google"
2. Public relations,"Efforts to build positive public image of the company and defend against criticism; uses press releases, sponsorship, endorsements"
3. Sales promotions,"Short-term actions to boost sales (e.g. 2 for 1, 33% off), discount codes, loyalty cards, competitions, free gifts, merchandising"
4. Personal selling,"Salesperson interacts with the consumer (interpersonal skills), informs them (with knowledge/training) and persuades them to buy a good/service"
