Term,Definition
Official Strike,"This is when the employees don't enter their workplace and refuse to work for their employer. Official strikes has to have a secret ballot, proper notification to the employer (i.e one week's notice) and it being sanctioned by ICTV"
Work-to-rule,"When employees only undertake the exact jobs written in their job description or contact of employment, without any flexibility "
Overtime ban,When worker refuse to work extra hours outside their normal contracted hours. This can lead to business losing sales
Token stoppage,"A brief stoppage of work intended to carry the threat of further, more serious action if an agreement is not reached"
