1,2
Profit margin,"The more stages (e.g. wholesaler, retailer) involved, the less a business profits per item sold"
Type of good,Perishable goods are best sold direct. Mass produced goods are best sold through wholesalers who can ‘break bulk’ and sell to retailers
Market size,"Low-volume operations may suit a more direct channel (especially for job production), since orders might be custom made"
Online presence,A business with lots of followers can sell directly through websites and social media. This is useful if the target market regularly uses devices
Technology,Apps such as Uber Eats and Deliveroo provide platforms where manufacturers can sell (which enables higher sales)
