1,2
Advertising,"ICT has led to online advertising, which has a much bigger impact on younger market segments. Younger consumers spend more time online (on phones and tablets) so more money is spent advertising there"
Public relations,"ICT has allowed companies to use social media (Twitter, Instagram, etc.) to interact with consumers. Businesses enhance their image through endorsements from social media users with lots of followers"
Sales promotions,ICT has allowed for a much wider range of ‘share and win’ competitions on social media to incentivise sales. Businesses also ask consumers to sign up for newsletters in exchange for discount codes. Businesses use pop-ups on browsers and websites
Personal selling,ICT has allowed salespeople to use smartphones and tablets to illustrate products/services in action. Live Chat is used for direct online interaction
